id,kpa_id,objective_id,ref,level,kpi_name,definition,unit,baseline,y1_2026_27,y2_2027_28,y3_2028_29,y4_2029_30,y5_2030_31,direction,calculation_method,means_of_verification,data_source,frequency,responsible_dept,source_page
kpa2-031,kpa2,so2_0,2.4.1,output,Number of new digital tax revenue streams identified and assessed,2.4.1 Digital Economy Transaction Monitoring System Implementation,number,1,2,5,9,12,15,grow,Count of distinct digital economic activities previously untaxed or under-taxed that are newly identified and formally assessed for taxation during the reporting period.,"Digital transaction monitoring system logs, TRA tax assessment records, case/project files, revenue reporting/accounting records, audit/compliance verification, and ICT/digital transformation oversight documentation",Digital transaction monitoring system logs,Quarterly,DRD,71
kpa2-032,kpa2,so2_0,2.4.2,output,Number of digital tax policy recommendations adopted into law/regulation,2.4.2 Harmonized Digital Tax Policy and Regulatory Framework Development,number,2,2,5,8,10,12,grow,Count of distinct digital tax policy recommendations formally adopted into national tax legislation or regulations during the reporting period.,"Legislative records/government gazettes, official circulars/statutory instruments, TRA policy submission files, parliamentary or ministry approval documents, audit/oversight reports, and ICT/legal policy tracking documentation.",Legislative records/government gazettes,Annually,RPD,71
kpa2-033,kpa2,so2_0,2.4.3,output,Increase in voluntary compliance rate among digital economy taxpayers,2.4.3 AI-Enhanced Digital Taxpayer Engagement and Compliance Platform,percent,55%,60%,66%,72%,77%,80%,grow,Total number of compliance taxpayer in digital economy divide by Total number of compliance taxpayer x 100,"Compliance reports, IDRAS reports",Compliance reports,Quarterly,DRD,71
kpa2-034,kpa2,so2_0,2.4.3,output,Taxpayer satisfaction score with digital engagement services,2.4.3 AI-Enhanced Digital Taxpayer Engagement and Compliance Platform,percent,60%,68%,74%,79%,83%,85%,grow,Score generated from the survey reports through distributed respondents tools to taxpayers,"Customers engagement reports, taxpayer's perception survey reports",Customers engagement reports,Annually,TECD,71
kpa2-035,kpa2,so2_0,2.4.3,output,Reduction in manual taxpayer queries related to digital tax matters,2.4.3 AI-Enhanced Digital Taxpayer Engagement and Compliance Platform,percent,5%,15%,30%,45%,55%,60%,grow,manual taxpayer queries related to digital tax matters divide by manual taxpayer queries x 100,"Customers engagement reports, taxpayer's perception survey reports",Customers engagement reports,Annually,TECD,72
kpa2-036,kpa2,so2_0,2.5,outcome,Percentage of TRA Digital Governance and Process Control,2.5 Strengthened TRA Digital Governance and Process Control Framework,percent,10 %,40%,50%,70%,90%,100%,grow,(Number of digitally monitored& automated processes Over total number of enterprise processes) X 100,TRA Digital Governance and Process Control Framework,TRA Digital Governance and Process Control Framework,Quarterly,ICTD,72
kpa2-037,kpa2,so2_0,2.5.1,output,Ratio of Employee Awareness of Digital Governance,2.5.1 Digital Governance Policy and Procedures Manual Developed and Approved,percent,15%,25%,45%,65%,85%,100%,grow,(Number of employee who are aware of digital governance over total employees) times 100,Digital Governance Policy & Procedures Manual approved,Digital Governance Policy & Procedures Manual,Quarterly,ICTD,72
kpa2-038,kpa2,so2_0,2.5.2,output,Percentage Coverage of Automated Data Integrity,2.5.2 Automated Data Integrity and System Monitoring Tools Deployed,percent,10%,25%,45%,65%,85%,100%,grow,(Number of automated integrity checks passed/active divide by Total number of defined data integrity rules) times 100,Coverage of Integrity Monitoring Automated Data Report,Coverage of Integrity Monitoring Automated Data Report,Quarterly,ICTD,72
kpa2-039,kpa2,so2_0,2.5.3,output,Percentage of Digital Risk Register Establishment and Update,2.5.3 Digital Risk Management and Compliance Reporting System Implemented,percent,8%,35%,55%,70%,85%,100%,grow,Number of digital risk register created divide by total number of required risk registers) X 100,Updated Automated risk registers; Updated Operational and Institutional Risk Registers,Updated Automated risk registers,Quarterly,RCD,72
kpa2-040,kpa2,so2_0,2.5.3,output,Ratio of Compliance Reporting Automation,2.5.3 Digital Risk Management and Compliance Reporting System Implemented,percent,10%,25%,45%,65%,85%,100%,grow,(Automated compliance reports divided by Total compliance Reports) X 100,Automated reports; Total compliance reports,Automated reports,Quarterly,ICTD,72
kpa3-001,kpa3,so3_0,3.1,outcome,Stakeholder Trust and Perception Index,"3.1 Improved stakeholder relationships, communication and Service Governance",number,75 (0-100),80,85,91,95,98,grow,"A composite score reflecting the overall level of trust, positive perception, and satisfaction among all monitored key stakeholder segments, derived from continuous multi-source data including surveys, digital analytics, public commentary, and media analytics, indicating movement in institutional credibility and reduction in negative sentiment.",Survey reports Digital media analysis reports,Survey reports,Annually,TECD,72
kpa3-002,kpa3,so3_0,3.1.1,output,Percentage increase in positive stakeholder perception score,3.1.1 Enhanced Stakeholder Communication and Feedback Mechanisms Established,percent,90%,90%,90%,90%,90%,90%,maintain,"Measures the average increase in positive perception scores across key stakeholder surveys (e.g., regarding trust, transparency, responsiveness, and institutional credibility) compared to the baseline established in the first year of the plan.",Survey reports,Survey reports,Annually,TECD,72
kpa3-003,kpa3,so3_0,3.1.1,output,"Number of active, dedicated communication channels for stakeholders",3.1.1 Enhanced Stakeholder Communication and Feedback Mechanisms Established,number,7,8,9,10,11,12,grow,"Counts the distinct, actively managed communication channels (e.g., dedicated web portal, social media presence, regular newsletters, public forums) specifically utilized for stakeholder interaction and information sharing.",Communication channels dedicated for stakeholder interaction,Communication channels dedicated for stakeholder interaction,Annually,TECD,73
kpa3-004,kpa3,so3_0,3.1.2,output,Percentage of planned TRA courses implemented,"3.1.2 Develop, review and implement Proficiency/demand-driven programmes for TRA staff",percent,100%,100%,100%,100%,100%,100%,maintain,Number of courses delivered divided by total number of courses planned times 100,1. Approved Learning and development calendar 2. Training attendance registers 3. Timetable 4. Training Manuals,Approved Learning and development calendar,Annually,ITA,73
kpa3-005,kpa3,so3_0,3.1.2,output,Percentage of staff attending learning and development programs as planned,"3.1.2 Develop, review and implement Proficiency/demand-driven programmes for TRA staff",percent,78%,90%,91%,92%,93%,94%,grow,Compute: 1. Number of staffs enrolled for ITA courses divided by planned number times 100 Actual hours of individual attendance compared to targeted hour times 100,1.Invitation letters 2.Course Registration Register 3. Attendance sheets 4. E-learning records,Invitation letters,Annually,ITA,73
kpa3-006,kpa3,so3_0,3.1.2,output,Number of proficiency trainings reviewed/developed for TRA employees,"3.1.2 Develop, review and implement Proficiency/demand-driven programmes for TRA staff",number,10,12,14,18,20,24,grow,Number of proficiency trainings reviewed/developed,"1. Minutes of curriculum review or technical committee meetings 2. Approved training curricula or course/module documents 3. training manuals, course outlines, or modules",Minutes of curriculum review or technical committee meetings,Annually,ITA,73
kpa3-007,kpa3,so3_0,3.1.2,output,Percentage of ITA training programs incorporating practical learning components,"3.1.2 Develop, review and implement Proficiency/demand-driven programmes for TRA staff",percent,60%,75%,78%,82%,86%,90%,grow,Number of programs with practical number over total number of trainings programs times 100,"Course curriculum showing practical components 2. Assessment tools (case studies, practical assignments, simulations) 3. Training manuals and teaching materials with practical cases",Course curriculum showing practical components,Annually,ITA,73
kpa3-008,kpa3,so3_0,3.1.2,output,Percentage of trainees reporting that training programs are practical and relevant to their job functions,"3.1.2 Develop, review and implement Proficiency/demand-driven programmes for TRA staff",percent,70%,88%,90%,92%,94%,96%,grow,Average student score on the practical and relevance of ITA programs divide by total number of students attended training programs times 100,1.Student evaluation reports 2. Fieldwork reports,Student evaluation reports,Annually,ITA,73
kpa3-009,kpa3,so3_0,3.1.3,output,Number of collaborations and Partnerships with reputable/relevant institutions,3.1.3 Established strategic partnerships and linkages with industry and academia within and outside the country,number,1,2,2,2,2,2,grow,1.Signed Memoranda of Understanding (MoUs)/ agreements Number of agreements signed against targeted number times 100,"2. Joint activity reports (training, research, conferences) 3. Terms of Reference 4. Joint outputs (e.g., publications, training programs, events) 5. contracts",Signed Memoranda of Understanding (MoUs)/ agreements,Annually,ITA,73
kpa3-010,kpa3,so3_0,3.1.3,output,Number of staff and students on exchange programs,3.1.3 Established strategic partnerships and linkages with industry and academia within and outside the country,number,10,20,30,40,60,80,grow,Number of staff and students on exchange programs,"1.Staff exchange policy 2. Students exchange policy 3. Terms of Reference 4. Nomination and acceptance letters from partner institutions 5. Travel records (e.g., tickets, visas, travel authorizations) 6. Exchange program records and databases 7. Participation or completion certificates 8. Reports from exchange participants",Staff exchange policy,Annually,ITA,74
kpa3-011,kpa3,so3_0,3.1.3,output,Number of joint research projects conducted with partnering institutions,3.1.3 Established strategic partnerships and linkages with industry and academia within and outside the country,number,1,2,2,2,2,2,grow,Number of joint researches completed,"1. Joint research project proposals and approval documents 2. Research project reports (inception, progress, final) 3. Evidence of joint research activities (meetings, workshops)",Joint research project proposals and approval documents,Annually,ITA,74
kpa3-012,kpa3,so3_0,3.1.4,output,Number of Extra-Curriculum activities Conducted,3.1.4 Improved student services and extra curriculum activities,number,2,12,16,20,24,28,grow,Number of extra-curriculum activities conducted,"1. Student affairs or administration records 2. Photos, videos, or media coverage of activities 3. Activity reports and event summaries 4. Certificates",Student affairs or administration records,Annually,ITA,74
kpa3-013,kpa3,so3_0,3.1.4,output,Percentage of students with mentors,3.1.4 Improved student services and extra curriculum activities,percent,70%,88%,90%,92%,94%,96%,grow,Number of ITA students on mentorship programs (excluding short courses) over total number of active students' times 100,1.Mentorship manual and guidelines 2. Lists of assigned mentors and mentees 3. Mentorship session logs or reports,Mentorship manual and guidelines,Annually,ITA,74
kpa3-014,kpa3,so3_0,3.1.4,output,Percentage of students satisfied with outsourced services,3.1.4 Improved student services and extra curriculum activities,percent,78%,84%,86%,88%,90%,96%,grow,Average score of students and other stakeholders certified with outsourced services,Student and staff survey reports,Student and staff survey reports,Annually,ITA,74
kpa3-015,kpa3,so3_0,3.1.4,output,WIFI coverage and accessibility,3.1.4 Improved student services and extra curriculum activities,percent,50%,80%,85%,90%,95%,99.9%,grow,Number of active users connected against total number of potential users' times 100,"1. Network coverage maps and site survey reports 2. Wi-Fi performance monitoring reports (signal strength, uptime, usage), 3. User access logs (number of connected users), 4. User satisfaction surveys on Wi-Fi access",Network coverage maps and site survey reports,Annually,ITA,75
kpa3-016,kpa3,so3_0,3.2,outcome,Stakeholder Trust & Investor Confidence Index,3.2 Strengthened Institutional Trust,percent,62%,64%,67%,71%,75%,78%,grow,"Number of respondents rating trust and confidence as high, very high, satisfied, or agree over total number of respondents in the survey ×100",Stakeholders' perception survey reports or Institutional integrity perception surveys,Stakeholders' perception survey reports,Annually,TECD,75
kpa3-017,kpa3,so3_0,3.2.1,output,Percentage of planned ethics performance reports published timely,3.2.1 Enhanced Public Reporting on TRA Ethics Performance,percent,75%,100%,100%,100%,100%,100%,grow,The proportion of ethics performance reports that are published against planned ethics report,Published ethics and integrity reports; TRA annual integrity reports,Published ethics and integrity reports,Annually,INAD,75
kpa3-018,kpa3,so3_0,3.2.1,output,Increase in public access to TRA information,3.2.1 Enhanced Public Reporting on TRA Ethics Performance,percent,50%,60%,70%,80%,90%,95%,grow,Change in number of access to TRA Information divide by previous number of access to TRA information*100,Number of views and downloads from the TRA website,Number of views and downloads from the TRA website,Quarterly,RPD,75
kpa3-019,kpa3,so3_0,3.3,outcome,Percentage of Compliance with National and International Governance Standards,3.3 Improved Alignment to National and International Tax Governance Standards,percent,83%,85%,87%,89%,95%,98%,grow,(Number of governance standards and regulatory requirements complied with divided by Total number of applicable governance standards and regulatory requirements assessed) times 100,"Regulatory Compliance Monitoring Reports; Internal Audit Reports; External Assessment Reports (e.g., OECD, ATAF, regional bodies); Compliance Checklists",Regulatory Compliance Monitoring Reports,Annually,RCD,75
kpa3-020,kpa3,so3_0,3.3.1,output,Percentage of applicable regulatory requirements monitored and complied with through the compliance monitoring framework percentage by 2030/2031,3.3.1 Comprehensive Regulatory Compliance Monitoring Framework Implemented,percent,83%,85%,87%,89%,95%,98%,grow,Number of regulatory requirements complied with divided by Total number of applicable regulatory requirements assessed times 100,Quarterly Regulatory Compliance Monitoring Report Frequency,Quarterly Regulatory Compliance Monitoring Report,Annually,RCD,75
kpa3-021,kpa3,so3_0,3.4,outcome,"Percentage of corporate strategy, policies, and departmental performance integrating ESG principles and KPIs","3.4 Institutionalization of ESG principles within TRA's governance, operations, and performance systems",percent,0%,50%,60%,70%,75%,80%,grow,"Number of corporate strategy, policies, and departmental performance integrated ESG principles and KPIs divided by Total number of required corporate strategy, policies, and departmental performance integrating ESG principles and KPIs times 100",Quarterly ESG Performance Report; Sustainability Monitoring Reports,Quarterly ESG Performance Report,Annually,RCD,75
kpa3-022,kpa3,so3_0,3.4.1,output,Percentage of ESG governance structures established and functioning as per framework,3.4.1 ESG governance and institutional framework established and operationalized,percent,0%,30%,50%,60%,70%,75%,grow,Number of ESG governance structures established and functioning as per framework divided by Total number of required ESG governance structures times 100,Quarterly ESG Performance Report; Sustainability Monitoring Reports .,Quarterly ESG Performance Report,Quarterly,RCD,76
kpa3-023,kpa3,so3_0,3.4.2,output,Percentage of Key business processes integrated ESG requirements,3.4.2 ESG Integrated into Business Processes,percent,0%,40%,50%,60%,70%,75%,grow,Number of key processes with ESG requirements integrated divided by Total number of key processes times 100,Business process with ESG requirements,Business process with ESG requirements,Quarterly,RCD,76
kpa3-024,kpa3,so3_0,3.4.3,output,Percentage of ESG targets achieved,3.4.3 ESG performance monitored and reported,percent,0%,50%,60%,70%,75%,80%,grow,Number of ESG targets achieved divided by ESG targets times 100,Quarterly ESG Performance Report; Sustainability Monitoring Reports,Quarterly ESG Performance Report,Quarterly,RCD,76
kpa4-001,kpa4,so4_1,4.1.1,outcome,Percentage of staff with clear role and mandate understanding,4.1.1 Improved Role Clarity and Mandate Alignment,percent,78%,80%,84%,88%,91%,96%,grow,Number of staffs who demonstrate clear understanding/Staff assessed x 100,Role clarity survey reports,Role clarity survey reports,Annually,HRMAD,76
kpa4-002,kpa4,so4_1,4.1.1,output,Percentage of key roles with formally approved and communicated standardized descriptions,4.1.1.1 Standardized Role Descriptions & Deliverable Mapping,percent,78%,80%,84%,88%,91%,96%,grow,key roles with formally approved and communicated standardized descriptions divide by number of roles x 100,Career pathway and New Structure Evaluation Reports,Career pathway and New Structure Evaluation Reports,Annually,HRMAD,76
kpa4-003,kpa4,so4_1,4.1.1,output,Review of organisation structure to be fully aligned with TRA functional requirement,4.1.1.2 Reviewed TRA's Organizational structure,number,1,-,-,-,-,1,maintain,Number of Organisation structure review conducted during the plan,New organisational structure evaluation and compliance report,New organisational structure evaluation and compliance report,Annually,HRMAD,76
kpa4-004,kpa4,so4_1,4.1.1,output,Percentage of approved positions mapped and aligned to the Scheme of Services (SOS),4.1.1.2 Reviewed TRA's Organizational structure,percent,70%,80%,85%,90%,95%,100%,grow,Positions aligned with the SOS/Total approved positions in the Org Structure x 100,HR Establishment/ Job listing records,HR Establishment/ Job listing records,Annually,HRMAD,76
kpa4-005,kpa4,so4_1,4.1.1,output,Percentage of managerial positions filled within six months after appointment,4.1.1.2 Reviewed TRA's Organizational structure,percent,78%,80%,85%,90%,95%,98%,grow,Managerial positions filled within 6months/Total approved positions x 100,Approved Organizational structure and Staff establishment/job listing register,Approved Organizational structure and Staff establishment/job listing register,Semiannually,HRMAD,76
kpa4-006,kpa4,so4_1,4.1.2,outcome,Employee Engagement Index Score,4.1.2 Strengthened Employee Engagement & Organisational Commitment,percent,80%,82%,84%,86%,88%,90%,grow,Total score obtained/Maximum possible score x 100,Annual employee engagement survey reports,Annual employee engagement survey reports,Annually,HRMAD,76
kpa4-007,kpa4,so4_1,4.1.2,output,Participation Rate in Feedback Sessions,4.1.2.1 Enhanced Employee Communication and Feedback Mechanisms,percent,70%,72%,75%,78%,80%,85%,grow,Number of employee engaged in feedback session or platforms / by total feedbacks received x 100,"Visitors counter register, registers of participants in feedback session/platforms",Visitors counter register,Quarterly,HRMAD,76
kpa4-008,kpa4,so4_1,4.1.2,output,Percentage of planned employee engagement initiatives implemented annually,4.1.2.2 Improved employee's engagement initiatives,percent,85%,88%,90%,92%,95%,97%,grow,Actual implemented initiatives/Planned Annual initiatives x 100,Annual Engagement Plan and Engagement implementation reports,Annual Engagement Plan,Annually,HRMAD,76
kpa4-009,kpa4,so4_1,4.1.2,output,Percentage of employee participation in engagement activities,4.1.2.2 Improved employee's engagement initiatives,percent,90%,92%,94%,96%,98%,99%,grow,Average No. of participating staff/Targeted No. of staff x 100,Staff participation reports,Staff participation reports,Annually,HRMAD,77
kpa4-010,kpa4,so4_1,4.1.2,output,Percentage of Employees Participating in Formal Feedback Sessions,4.1.2.2 Improved employee's engagement initiatives,percent,70%,73%,75%,77%,78%,82%,grow,Number of employees who p articipated in the sessions/ Target number x 100,Staff Participation,Staff Participation,Annually,HRMAD,77
kpa4-011,kpa4,so4_1,4.1.2,output,Percentage increase in staff salaries,4.1.2.3 Employee salary and benefits improved,percent,25%,15%,15%,,,,,Salary increase after adjustment /Salary before adjustment x 100,Salary structure records,Salary structure records,Annually,HRMAD,77
kpa4-012,kpa4,so4_1,4.1.2,output,Number of new monetary incentive packages introduced,4.1.2.3 Employee salary and benefits improved,number,25,2,2,1,,,,Count of new incentives,Approved incentive guideline and implementation reports,Approved incentive guideline,Annually,HRMAD,77
kpa4-013,kpa4,so4_1,4.1.2,output,Percentage of welfare and wellness initiatives implemented as per plan,4.1.2.4 Improved welfare programs and workplace wellness initiatives.,percent,70%,82%,85%,90%,95%,95%,grow,Number of implemented/number established x 100,Welfare/wellness programs implementation reports,Welfare/wellness programs implementation reports,Annually,HRMAD,77
kpa4-014,kpa4,so4_1,4.1.2,output,Percentage of staff involved in each welfare programs as per plan,4.1.2.4 Improved welfare programs and workplace wellness initiatives.,percent,58%,60%,65%,70%,75%,80%,grow,Number of attendees/total number of staff x 100,welfare programs attendance,welfare programs attendance,Annually,HRMAD,77
kpa4-015,kpa4,so4_1,4.1.2,output,Health incidents rate Complaints,4.1.2.4 Improved welfare programs and workplace wellness initiatives.,percent,10%,7%,7%,6%,5%,5%,reduce,Previous year complaints minus current year complaints divided by previous year complaints x 100,Medical records reports,Medical records reports,Annually,HRMAD,77
kpa4-016,kpa4,so4_1,4.1.3,outcome,Capacity Index score,4.1.3 Improved Organisational Capacity and Knowledge Management,percent,69%,71%,73%,75%,77%,82%,grow,Weighted Output Capacity Index method (The sum of each capacity indicator's weight multiplied by its achievement level (percentage),1.Skills audit and gaps report 2.TNA report 3. Performance appraisal reports,Skills audit and gaps report,Annually,HRMAD,77
kpa4-017,kpa4,so4_1,4.1.3,output,The KM System Active User Rate,4.1.3.1 Integrated Knowledge Management System and Culture,percent,38%,50%,55%,60%,65%,70%,grow,Number of active users during the period/Registered users x 100,KM Reports,KM Reports,Annually,HRMAD,77
kpa4-018,kpa4,so4_1,4.1.3,output,Percentage of staff with a yellow page (staff expertise directory) profile within KMS,4.1.3.1 Integrated Knowledge Management System and Culture,percent,0%,45%,50%,70%,80%,85%,grow,Number of staff with complete d profiles in KMS/Total number of staff x 100,KM reports,KM reports,Annually,HRMAD,77
kpa4-019,kpa4,so4_1,4.1.3,output,"Percentage of technical documents, guidelines, case studies, or best practices uploaded to the KMS",4.1.3.1 Integrated Knowledge Management System and Culture,percent,40%,50%,60%,80%,90%,95%,grow,All approved documents uploaded to KMS during the specified period,KMS log reports,KMS log reports,Quarterly,HRMAD,77
kpa4-020,kpa4,so4_1,4.1.3,output,Percentage of learning and development initiatives implemented as planned,4.1.3.2 Implement targeted Learning and Development (L&D) to strengthen institutional capacity.,percent,100%,100%,100%,100%,100%,100%,maintain,Number of L&D initiatives implemented/Total number of L&D initiatives planned x 100,Training attendance registers or signed attendance sheets; training L&D reports,Training attendance registers,Annually,HRMAD,77
kpa4-021,kpa4,so4_1,4.1.3,output,Percentage of staff attending learning and development programs as planned,4.1.3.2 Implement targeted Learning and Development (L&D) to strengthen institutional capacity.,percent,90%,91%,92%,93%,94%,95%,grow,Number of employees attended training over total number of employees,Training attendance registers or signed attendance sheets; training reports,Training attendance registers,Annually,HRMAD,78
kpa4-022,kpa4,so4_1,4.1.3,output,Percentage of coaching cycle completion as per plan,4.1.3.2 Implement targeted Learning and Development (L&D) to strengthen institutional capacity.,percent,35%,40%,45%,50%,60%,70%,grow,Number of coaching pairs/Plan x 100,HR Coaching reports,HR Coaching reports,Annually,HRMAD,78
kpa4-023,kpa4,so4_1,4.1.3,output,Percentage of job roles mapped to the defined competency profiles,4.1.3.3 Enhanced employee capabilities,percent,50%,55%,60%,80%,100%,100%,grow,Number of job roles mapped to competencies over Total number of job roles in the job catalogueue x 100,Career Pathway and Job functional Competences report,Career Pathway,Annually,HRMAD,78
kpa4-024,kpa4,so4_1,4.1.3,output,Percentage completion of Competence Framework,4.1.3.3 Enhanced employee capabilities,percent,70%,80%,90%,95%,100%,100%,grow,Completion rate of the framework,Approved Competence framework,Approved Competence framework,Annually,HRMAD,78
kpa4-025,kpa4,so4_1,4.1.3,output,Percentage of employees trained in digital competencies as planned,4.1.3.4 Robust Digital Skills Development Strategy,percent,70%,75%,80%,85%,90%,95%,grow,Number of employees trained in digital skills/Target x 100,L&D Reports,L&D Reports,Quarterly,HRMAD,78
kpa4-026,kpa4,so4_1,4.1.3,output,Percentage of Digital Training Programs Successfully Implemented,4.1.3.4 Robust Digital Skills Development Strategy,percent,80%,85%,90%,92%,94%,95%,grow,Number of digital training programs conducted/ Target x 100,L&D Reports,L&D Reports,Quarterly,HRMAD,78
kpa4-027,kpa4,so4_1,4.1.3,output,Increase in Digital Skills Proficiency Rate for critical roles with required digital skills,4.1.3.4 Robust Digital Skills Development Strategy,percent,70%,75%,80%,80%,85%,90%,grow,Number of employees meeting required digital competency levels/Total employees assessed x 100,L&D Reports,L&D Reports,Annually,HRMAD,78
kpa4-028,kpa4,so4_1,4.1.4,outcome,Percentage of Staff with KPA-Aligned Performance Contracts,4.1.4 Improved Performance Management,percent,89%,92%,94%,96%,97%,98%,grow,Staff with KPA/Eligible staff annually x 100,PM Reports,PM Reports,Annually,HRMAD,78
kpa4-029,kpa4,so4_1,4.1.4,outcome,Percentage of Performance Improvement Plans,4.1.4 Improved Performance Management,percent,20%,30%,40%,50%,55%,60%,grow,No of PIP implemented/ Number of Identified PIP x 100,PM and LnD reports,PM and LnD reports,Annually,HRMAD,78
kpa4-030,kpa4,so4_1,4.1.4,outcome,Alignment of Recognition & Reward with High Performance,4.1.4 Improved Performance Management,percent,82%,84%,87%,90%,93%,95%,grow,Number of staff receiving rewards/Annual Plan x 100,PM Reports,PM Reports,Quarterly,HRMAD,78
kpa4-031,kpa4,so4_1,4.1.4,output,Percentage of performance management framework components reviewed and updated,4.1.4.1 Revised Performance Management Framework Developed and Approved,percent,60%,70%,80%,95%,100%,100%,grow,Percentage of completion,1. Members Appointment memo 3. Draft Performance Management Framework document,Members Appointment memo,Quarterly,HRMAD,78
kpa4-032,kpa4,so4_1,4.1.4,output,Percentage of performance management processes migrated to the digital system,4.1.4.2 Performance Management System Digitization,percent,50%,60,70%,90%,100%,100%,grow,Percentage of PM processes migrated to the new system,PM Module implemented,PM Module,Annually,HRMAD,78
kpa4-033,kpa4,so4_1,4.1.5,outcome,Employee Satisfaction Index with Workplace Environment,"4.1.5 Improved Working Environment, Tools and Operational Support",percent,70%,72%,78%,82%,85%,88%,grow,Total score obtained/Maximum possible score x 100,Employee surveys reports,Employee surveys reports,Annually,HRMAD,79
kpa4-034,kpa4,so4_1,4.1.5,output,Average Critical System Uptime,4.1.5.1 Modernized Digital Productivity Platform,percent,99.9%,99.9%,99.9%,99.9%,99.9%,99.9%,maintain,[(Total Scheduled Service Time − Total Unplanned Downtime of Critical Systems) ÷ Total Scheduled Service Time] × 100.,"System monitoring and availability reports (e.g., Network Monitoring System, APM, SIEM, Infrastructure Monitoring Tools).",System monitoring and availability reports,Annually,ICTD,79
kpa4-035,kpa4,so4_1,4.1.5,output,Adoption Rate of New Digital Collaboration Tools,4.1.5.1 Modernized Digital Productivity Platform,percent,0%,40%,50%,60%,70%,80%,grow,Adoption Rate (%) = (Number of active users of the new digital collaboration tools ÷ Total target users expected to use the tools) × 100,• User activity and usage analytics reports from collaboration platforms. • System access and login reports. • ICT application usage dashboards. • User account provisioning records,User activity and usage analytics reports,Annually,ICTD,79
kpa4-036,kpa4,so4_1,4.1.5,output,Employee Satisfaction with Physical Work Environment,4.1.5.2 Upgraded Ergonomic and Functional Workspaces,percent,78%,80%,82%,84%,86%,88%,grow,Total employees satisfied with work environment over Total employees x 100,"Employees Perception Survey Reports, Employees Motivation index reports",Employees Perception Survey Reports,Annually,HRMD,79
kpa4-037,kpa4,so4_1,4.1.5,output,Percentage Integration of Change Management into Management Processes for projects/initiatives,4.1.5.3 Institutionalization of Change Management in the Authority,percent,65%,70%,80%,85%,90%,100%,grow,(Number of key initiatives adopting the Change Management Framework divided by Total number of key initiatives) x 100,Project Implementation Reports; Change Management Implementation Reports,Project Implementation Reports,Annually,RCD,79
kpa4-038,kpa4,so4_1,4.1.5,output,Percentage of stakeholders trained on change management,4.1.5.3 Institutionalization of Change Management in the Authority,percent,30%,50%,60%,70%,90%,100%,grow,(Number of stakeholders trained on change management divided by Total number of targeted stakeholders) x 100,Training Attendance Records; Training Reports,Training Attendance Records,Annually,RCD,79
kpa4-039,kpa4,so4_1,4.1.5,output,Change Adoption Rate (Percentage),4.1.5.3 Institutionalization of Change Management in the Authority,percent,0%,50%,60%,70%,90%,100%,grow,(Number of users actively using new systems/processes after implementation divided by Total number of targeted users) times 100,Data Source: System Usage Reports; System Access Logs Frequency: Quarterly Assumptions: 1. New systems or processes are fully implemented. 2. Users have received adequate training and support. 3.Systems for monitoring usage are available 4.Functional Change Management Structure established,System Usage Reports,Annually,RCD,79
kpa4-040,kpa4,so4_1,4.1.5,output,Percentage of renovated physical infrastructure and facilities,4.1.5.4 Renovate existing teaching physical infrastructure and facilities,percent,10%,15%,30%,40%,50%,60%,grow,Number of facilities against total number planned x 100,1.Infrastructure renovation plans and schedules 2.Photographic evidence (before and after renovation) 3.Procurement and payment records for renovation works 4. Inspection and handover reports,Infrastructure renovation plans and schedules,Annually,ITA,80
kpa4-041,kpa4,so4_1,4.1.5,output,Percentage rate of Completion of the Academic Building,4.1.5.5 Modern learning and lecture space for ITA constructed,percent,10%,10%,40%,50%,80%,100%,grow,Work Completed against total work planned x 100,"1. Annual Procurement Plan 2. Project implementation plan and construction schedule 3. Bill of Quantities (B.O.Q) and work completion records 4. Architectural drawings, mechanical and engineering estimates",Annual Procurement Plan,Annually,ITA,80
kpa4-042,kpa4,so4_1,4.1.5,output,Percentage rate of Completion of Misugusugu Master Plan,4.1.5.5 Modern learning and lecture space for ITA constructed,percent,0%,10%,30%,60%,90%,100%,grow,Weighted Progress of Each Component divided by total planned weight x 100,1. Progress and status reports for each component/project 2. Stakeholders report 3.Environmental Assessment Report 4. Photos and media,Progress and status reports for each component/project,Annually,ITA,80
kpa4-043,kpa4,so4_1,4.1.5,output,Percentage coverage of cameras surveillance system and lights,"4.1.5.6 Safety and security of students, staff and stakeholders enhanced",percent,20%,30%,60%,70%,80%,100%,grow,Number of Areas Covered by Cameras/Lighting against Total Number of Identified Areas x 100,1. Security infrastructure layout plans (CCTV and lighting maps) 2. Site inspection and security audit reports 3. Procurement contracts 4. Video monitoring system logs (for cameras),Security infrastructure layout plans,Annually,HRMAD,80
kpa4-044,kpa4,so4_1,4.1.5,output,Percentage of students using electronic attendance,"4.1.5.6 Safety and security of students, staff and stakeholders enhanced",percent,0%,40%,50%,60%,75%,90%,grow,Number of Students Using Electronic Attendance divided by total number of students' x 100,1. Electronic attendance system reports 2. Attendance analytics dashboards 3. Classroom attendance reports from the system 4. Student enrolment records (for total number of students),Electronic attendance system reports,Annually,HRMAD,81
kpa4-045,kpa4,so4_1,4.1.5,output,Number of staff and students sensitized on security matters,"4.1.5.6 Safety and security of students, staff and stakeholders enhanced",number,300,300,300,300,300,300,maintain,Number of staff and students attended sensitization sessions,"1. Students attendance register 2, photos and media 3. Training materials",Students attendance register,Annually,HRMAD,81
